titulo,autor(es),editora,descrição
Pandora,Anne Rice,Rocco,"Anne Rice, criadora do vampiro Lestat, das bruxas Mayfair e dos incríveis mundos em que vivem esses seres sobrenaturais, lança agora 'Pandora', o primeiro volume de uma nova série de crônicas vampirescas, cujos protagonistas estão ligados ao vampiro novato David Talbot, designado para ser o cronista de seus companheiros mortos-vivos. 
Pandora é o primeiro livro da nova série de contos vampirescos de Anne Rice. Um presente para os fãs do estilo narrativo da escritora gótica que mais vende em todo o mundo. Seus personagens jogam estrategicamente com a sedução e esbanjam sagacidade, atravessando séculos de romantismo e mistério, numa luta dramática entre razão, prazer e paixão. 
O narrador deste romance é o vampiro David Talbot. A história começa no século XXI, tendo como cenário um lotado café parisiense. Lá a belíssima jovem Pandora - de pele de porcelana, olhos topázio e de inteligência incomum - é convidada por David e escrever sua história. Ela nos leva a viajar no tempo e relata, relutante a princípio e depois com incrível paixão, uma vida de mais de 2.000 anos. 
Pandora volta à pré-adolescência, quando era uma simples mortal, filha de um rico senador do Império Romano. Nesta época, no palácio de seu pai, ela conhece e se apaixona pelo ainda mortal e extremamente charmoso Marius, numa Roma atemorizada, dominada por César e cercada de conspiradores e assassinos interessados em tomar a cidade. 
Vinte anos depois, Pandora foge de Roma e passa a ter sonhos freqüentes com sangue jorrando. Busca um padre para esclarecer seus pesadelos. Numa nova cidade, encontra com Marius, o já poderoso e carismático vampiro. Juntos passam a viver um grande e turbulento amor. Durante séculos, numa intensa batalha entre razão e paixão, os dois travam um declarado e doloroso duelo, até se separarem tragicamente.
"
Caixa de pássaros,Josh Malerman,,"Romance de estreia de Josh Malerman, Caixa de pássaros é um thriller psicológico tenso e aterrorizante, que explora a essência do medo. Uma história que vai deixar o leitor completamente sem fôlego mesmo depois de terminar de ler.
Basta uma olhadela para desencadear um impulso violento e incontrolável que acabará em suicídio. Ninguém é imune e ninguém sabe o que provoca essa reação nas pessoas. Cinco anos depois do surto ter começado, restaram poucos sobreviventes, entre eles Malorie e dois filhos pequenos. Ela sonha em fugir para um local onde a família possa ficar em segurança, mas a viagem que tem pela frente é assustadora: uma decisão errada e eles morrerão.
“Malerman usa a narrativa alusiva para criar um thriller fascinante que os fãs de Stephen King vão adorar.”Publishers Weekly
“Deve ser lido de uma só vez. Ninguém ainda havia escrito uma história de terror como essa.”Hugh Howey, autor de Silo
"
Sonho Febril,George R. R. Martin,,"Quando o falido capitão Abner Marsh recebe uma oferta de sociedade de um rico e sinistro aristocrata chamado Joshua York, ele até chega a desconfiar que algo está errado. Mas nada que a possibilidade de receber milhares de dólares em ouro e construir o barco dos seus sonhos não possa fazê-lo mudar de ideia.
 

Assim surge o Sonho do Fevre, o melhor e mais potente barco de todo o Mississipi. Uma embarcação magnífica que, ao navegar pelo rio, vai deixando pelo caminho uma coleção de histórias sombrias. Movido pela força do vapor, o Sonho do capitão pode se transformar no maior pesadelo da humanidade.
"
Pines,Blake Crouch,,"O agente secreto americano Ethan Burke chega à aparentemente pacata cidade de Wayward Pines, em Idaho, Estados Unidos, com a missão de descobrir o que ocorreu com dois de seus colegas, que sumiram sem deixar rastro. Mas, ao chegar, Burke se envolve em um violento acidente de carro e acorda, dias depois, em um hospital da cidade sem sua carteira, seu celular e a pasta que continha os papéis secretos que o levaram até a região.
 

Sem nenhum documento que confirme sua identidade, o agente não convence os moradores da cidade de que é quem diz ser. Para piorar a situação, ele não consegue contatar sua mulher e filho. Rapidamente, Burke percebe que nem tudo é o que parece ser em Wayward Pines e que o cenário bucólico do lugar esconde algo sinistro.
 

A fértil imaginação do autor best-seller Blake Crouch é a responsável por essa instigante história que virou série de TV do canal por assinatura Fox, produzida e dirigida pelo cultuado cineasta M. Night Shyamalan (diretor de Sexto Sentido, entre outros sucessos de Hollywood) e estrelada por Matt Dillon, Melissa Leo, Terrence Howard e Juliette Lewis.
"
Fortaleza Digital,Dan Brown,,"Responsável por monitorar as comunicações de todo o planeta e proteger informações do governo dos Estados Unidos, a ultra-secreta NSA, a Agência de Segurança Nacional americana, investiu às escondidas numa arma revolucionária para combater a ação de grupos terroristas na era da informática. Seu trunfo é o supercomputador TRANSLTR, capaz de decifrar em poucos minutos qualquer mensagem encriptada enviada pela Internet.
 

Quando o infalível TRANSLTR é paralisado por um misterioso código, a agência convoca a chefe do Departamento de Criptografia, a matemática Susan Fletcher, para investigar o que está acontecendo.
 

Susan faz uma descoberta aterradora: a NSA se tornou refém do gênio da computação Ensei Tankado.
"
O Nevoeiro,Stephen King,,"<p class=""description"">Depois de uma terrível tempestade, uma estranha névoa encobre uma pequena cidade. Criaturas ocultas no nevoeiro atacam as pessoas que saem as ruas. Um grupo fica preso em um supermercado e não pode sair do estabelecimento temendo ser atacado. A partir de então, começa uma luta sangrenta pela sobrevivência.</p> Depois de uma terrível tempestade, uma estranha névoa encobre uma pequena cidade. Criaturas ocultas no nevoeiro atacam as pessoas que saem as ruas. Um grupo fica preso em um supermercado e não pode sair do estabelecimento temendo ser atacado. A partir de então, começa uma luta sangrenta pela sobrevivência."
"Os Simpsons e a Ciência: O que eles podem nos ensinar sobre a física, robótica, vida e universo",Paul Halpern,,"Este livro utiliza toda a irreverência da série de desenhos animados Os Simpsons para apresentar às crianças as curiosidades da ciência para além da sala de aula. Aqui são explorados temas como mutações genéticas, os perigos da exposição aos elementos químicos, ecologia, desenvolvimento, viagens espaciais, tecnologias, e uma visão crítica sobre a ciência e sua aplicação na vida diária."
Magistérium - O Desafio de Ferro,Holly Black,,"AMIGOS E INIMIGOS. PERIGO E MAGIA. MORTE E VIDA. A maioria dos garotos faria qualquer coisa para passar no Desafio de Ferro. Callum Hunt não é um deles. Ele quer falhar. Se for aprovado no Desafi o de Ferro e admitido no Magisterium, ele tem certeza de que isso só irá lhe trazer coisas ruins. Assim, ele se esforça ao máximo para fazer o seu pior... mas falha em seu plano de falhar. Agora, o Magisterium espera por ele, um lugar ao mesmo tempo incrível e sinistro, com laços sombrios que unem o passado de Call e um caminho tortuoso até o seu futuro. Magisterium O Desafio de Fero nasceu da extraordinária imaginação das autoras best-seller Holly Black e Cassandra Clare. Um mergulho alucinante em um universo mágico e inexplorado."
A Rainha Vermelha,Victoria Aveyard,,"O mundo de Mare Barrow é dividido pelo sangue: vermelho ou prateado. Mare e sua família são vermelhos: plebeus, humildes, destinados a servir uma elite prateada cujos poderes sobrenaturais os tornam quase deuses.
 

Mare rouba o que pode para ajudar sua família a sobreviver e não tem esperanças de escapar do vilarejo miserável onde mora. Entretanto, numa reviravolta do destino, ela consegue um emprego no palácio real, onde, em frente ao rei e a toda a nobreza, descobre que tem um poder misterioso… Mas como isso seria possível, se seu sangue é vermelho?
 

Em meio às intrigas dos nobres prateados, as ações da garota vão desencadear uma dança violenta e fatal, que colocará príncipe contra príncipe - e Mare contra seu próprio coração.
"
A Guardiã,Melissa Marr,,"Mylene Barrow tem um ritual sagrado, cumprido há décadas: em cada funeral na pequena Claysville, uma pacata cidadezinha americana, ela toma três goles de uma mistura de água benta com uísque da melhor qualidade, e murmura, como que para ninguém: “Dos meus lábios para seus ouvidos, seu canalha. Ele foi muito amado e continuará sendo.” Depois, avisa ao morto: “Durma bem e permaneça onde eu o deixar.” Por três meses, ela ainda visita a sepultura, despejando outros três goles da bebida na terra, em uma rotina aceita por todos da comunidade. Quando Maylene é brutalmente assassinada, sua neta Rebekkah, há anos fora, volta para o enterro da avó, disposta a dizer adeus e ir embora de vez. Mas nada é tão simples em A guardiã, nova incursão pelo universo fantástico da autora best seller Melissa Marr.
"
A Ceia Secreta,Javier Sierra,Planeta,"Janeiro de 1497. Durante semanas, uma série de cartas anônimas enviadas à corte do papa Alexandre VI adverte que em Milão o controvertido Leonardo da Vinci está executando uma obra diabólica - um mural da Última Ceia, no qual não só pintou os apóstolos sem seu preceptivo halo de santidade, como também o próprio artista se retratou entre eles, dando as costas a Jesus Cristo.
 

Frei Agustín Leyre, inquisidor dominicano especialista na interpretação de mensagens cifradas, é enviado à corte dos Sforza para supervisionar essa pintura e tentar decifrar o segredo que protege a identidade do remetente das cartas. Será que a revelação deste mistério conseguirá mudar nossa forma de ver a pintura do gênio do Renascimento?
"
It: A coisa,Stephen King,Objetiva,"Durante as férias escolares de 1958, em Derry, pacata cidadezinha do Maine, Bill, Richie, Stan, Mike, Eddie, Ben e Beverly aprenderam o real sentido da amizade, do amor, da confiança e... do medo. O mais profundo e tenebroso medo. 
 

Naquele verão, eles enfrentaram pela primeira vez a Coisa, um ser sobrenatural e maligno que deixou terríveis marcas de sangue em Derry. Quase trinta anos depois, os amigos voltam a se encontrar. Uma nova onda de terror tomou a pequena cidade. Mike Hanlon, o único que permanece em Derry, dá o sinal. Precisam unir forças novamente. 
 

A Coisa volta a atacar e eles devem cumprir a promessa selada com sangue que fizeram quando crianças. Só eles têm a chave do enigma. Só eles sabem o que se esconde nas entranhas de Derry. O tempo é curto, mas somente eles podem vencer a Coisa. Em 'It - A Coisa', clássico de Stephen King em nova edição, os amigos irão até o fim, mesmo que isso signifique ultrapassar os próprios limites.
"
A Abadia de Northanger,Jane Austen,,"A ABADIA DE NORTHANGER foi publicada postumamente em dezembro de 1817 em conjunto com ""Persuasão"". A história de sua publicação por si já serviria como um excelente enredo para uma história vitoriana: foi escrito inicialmente em 1798 e o primeiro romance de Jane Austen a ser concluído para a publicação, antes mesmo de ""Razão e Sensibilidade” e “Orgulho e Preconceito” terem sido concebidos. Em 1803, Jane Austen revê o texto e vende a história para um editor de Londres, Crosby & Co., que apesar de ter adquirido a obra decide pela não-publicação. Antes de seu falecimento, Jane Austen ainda realizaria uma terceira revisão do texto, uma vez que seu irmão Henry havia readquirido os direitos sobre o livro. 
O lançamento de A ABADIA DE NORTHANGER pela EDITORA LANDMARK apresenta pela primeira vez a obra de Jane Austen em uma inédita edição bilíngue, resgatando toda a importância desta magnífica obra de uma das maiores escritoras inglesas. 
A ABADIA DE NORTHANGER acompanha a trajetória de Catherine Morland, sua família e amigos, quando de sua visita ao balneário de Bath, na Inglaterra, local sempre frequentado por Austen e sua própria família. Em sua estadia, Catherine passa seus dias visitando seus mais novos amigos e frequentando bailes na cidade e acaba por se envolver com dois jovens da cidade, John Thorpe e Henry Tillney que a envolve com seu conhecimento de literatura e história. O pai de Henry, general Tillney, a convida para visitar uma de suas propriedades, a Abadia de Northanger. Catherine que na história está lendo o romance gótico, “Os Mistérios de Udolpho”, de Ann Radcliffe, fica fascinada com a perspectiva de ingressar em um ambiente antigo, fantástico e sombrio. A Abadia de Northanger representa toda a capacidade de Jane Austen em se fazer a crítica social de seu tempo, bem como a de realizar a análise moral de seus personagens. Com o seu costumeiro e agradável senso de humor, a autora critica os romances góticos e seus excessos que tangenciam o ridículo, e introduz sua história em um cenário cotidiano e plausível.
"
